published_date,location,home_type,price,area,bedroom,wc,legal_status,furniture
06/10/2025,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,3.5,43.0,1.0,1.0,Hợp đồng mua bán,Cơ bản
06/10/2025,"Gia Lâm, Hà Nội",căn hộ chung cư,10.8,28.9,1.0,1.0,Hợp đồng mua bán,Cơ bản
06/10/2025,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,4.0,61.0,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ
06/10/2025,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,3.18,43.0,2.0,2.0,Hợp đồng mua bán,Cơ bản
06/10/2025,"Thanh Xuân, Hà Nội",căn hộ chung cư,6.5,72.9,2.0,2.0,Hợp đồng mua bán,Không có - Thiếu
06/10/2025,"Hai Bà Trưng, Hà Nội",căn hộ chung cư,9.4,140.0,4.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ
06/10/2025,"Hoàng Mai, Hà Nội",nhà riêng,8.85,31.0,5.0,4.0,Sổ đỏ/ Sổ hồng.,Đầy đủ
06/10/2025,"Đông Anh, Hà Nội","nhà biệt thự, liền kề",23.4,75.0,3.0,3.0,Sổ đỏ,Không có - Thiếu
06/10/2025,"Cầu Giấy, Hà Nội",căn hộ chung cư,10.8,69.0,2.0,2.0,Hợp đồng mua bán,Đầy đủ
06/10/2025,"Thanh Xuân, Hà Nội",căn hộ chung cư,6.25,72.0,2.0,2.0,Sổ đỏ/ Sổ hồng,Không có - Thiếu
06/10/2025,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,5.5,54.26,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ
06/10/2025,"Gia Lâm, Hà Nội","shophouse, nhà phố thương mại",12.5,73.5,5.0,4.0,Hợp đồng mua bán,Cơ bản
06/10/2025,"Hai Bà Trưng, Hà Nội",căn hộ chung cư,8.0,100.0,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ
06/10/2025,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,2.3,30.0,1.0,1.0,Sổ đỏ/ Sổ hồng,Không có - Thiếu
06/10/2025,"Thanh Xuân, Hà Nội",căn hộ chung cư,6.5,73.0,2.0,2.0,Không có - Thiếu,Đầy đủ
06/10/2025,"Thanh Xuân, Hà Nội",căn hộ chung cư,6.36,79.0,2.0,2.0,Hợp đồng mua bán,Đầy đủ
06/10/2025,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,3.14,43.0,2.0,2.0,Sổ đỏ/ Sổ hồng.,Đầy đủ
06/10/2025,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,2.5,28.6,1.0,1.0,Sổ đỏ/ Sổ hồng.,Đầy đủ
06/10/2025,"Hà Đông, Hà Nội",căn hộ chung cư,7.6,84.8,2.0,2.0,Hợp đồng mua bán,Đầy đủ
06/10/2025,"Cầu Giấy, Hà Nội",căn hộ chung cư,10.8,95.0,3.0,2.0,Không có - Thiếu,Không có - Thiếu
06/10/2025,"Gia Lâm, Hà Nội","nhà biệt thự, liền kề",9.8,73.8,3.0,3.0,Sổ đỏ/ Sổ hồng,Không có - Thiếu
06/10/2025,"Thanh Xuân, Hà Nội",căn hộ chung cư,9.3,100.0,3.0,2.0,Sổ đỏ/ Sổ hồng.,Đầy đủ
06/10/2025,"Đông Anh, Hà Nội","nhà biệt thự, liền kề",39.0,115.0,5.0,4.0,Hợp đồng mua bán,Không có - Thiếu
06/10/2025,"Gia Lâm, Hà Nội",căn hộ chung cư,10.8,65.0,2.0,2.0,Không có - Thiếu,Không có - Thiếu
06/10/2025,"Thanh Xuân, Hà Nội",căn hộ chung cư,10.8,80.0,3.0,3.0,Sổ lâu dài.,Đầy đủ
06/10/2025,"Hà Đông, Hà Nội","nhà biệt thự, liền kề",31.5,120.0,3.0,3.0,Sổ đỏ/ Sổ hồng.,Đầy đủ
06/10/2025,"Thanh Xuân, Hà Nội",căn hộ chung cư,6.5,73.0,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ
06/10/2025,"Tây Hồ, Hà Nội","nhà biệt thự, liền kề",49.5,140.0,3.0,3.0,Sổ đỏ/ Sổ hồng,Không có - Thiếu
06/10/2025,"Tây Hồ, Hà Nội","nhà biệt thự, liền kề",49.7,140.0,3.0,3.0,Sổ đỏ/ Sổ hồng,Không có - Thiếu
06/10/2025,"Tây Hồ, Hà Nội","nhà biệt thự, liền kề",50.0,150.0,6.0,5.0,Sổ đỏ/ Sổ hồng,Không có - Thiếu
06/10/2025,"Đan Phượng, Hà Nội","nhà biệt thự, liền kề",22.6,132.5,5.0,6.0,Hợp đồng mua bán,Không có - Thiếu
06/10/2025,"Thanh Xuân, Hà Nội",căn hộ chung cư,17.5,152.0,4.0,3.0,Sổ đỏ/ Sổ hồng,Đầy đủ
05/10/2025,"Gia Lâm, Hà Nội",căn hộ chung cư,10.8,40.0,1.0,1.0,Sổ đỏ/ Sổ hồng,Đầy đủ
05/10/2025,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,10.8,116.0,3.0,2.0,Hợp đồng mua bán.,Đầy đủ
05/10/2025,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,13.0,126.0,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ
05/10/2025,"Quốc Oai, Hà Nội",đất,3.9,300.0,3.0,3.0,Sổ đỏ/ Sổ hồng,Không có - Thiếu
05/10/2025,"Đông Anh, Hà Nội","nhà biệt thự, liền kề",24.2,67.5,6.0,5.0,Hợp đồng mua bán,Không có - Thiếu
05/10/2025,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,5.3,62.3,1.0,1.0,Sổ đỏ/ Sổ hồng.,Cơ bản
05/10/2025,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,2.65,30.8,1.0,1.0,Sổ đỏ/ Sổ hồng,Đầy đủ
04/10/2025,"Gia Lâm, Hà Nội",căn hộ chung cư,10.8,65.0,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ
04/10/2025,"Quốc Oai, Hà Nội",đất,4.2,100.0,3.0,3.0,Sổ đỏ/ Sổ hồng.,Không có - Thiếu
04/10/2025,"Quốc Oai, Hà Nội",đất,10.8,100.0,3.0,3.0,Sổ đỏ/ Sổ hồng,Không có - Thiếu
04/10/2025,"Gia Lâm, Hà Nội","shophouse, nhà phố thương mại",11.5,67.0,3.0,3.0,Không có - Thiếu,Không có - Thiếu
04/10/2025,"Đan Phượng, Hà Nội","nhà biệt thự, liền kề",17.9,120.0,5.0,4.0,Sổ đỏ/ Sổ hồng,Không có - Thiếu
04/10/2025,"Long Biên, Hà Nội",căn hộ chung cư,10.8,48.0,1.0,1.0,Hợp đồng mua bán,Cơ bản
04/10/2025,"Đông Anh, Hà Nội","nhà biệt thự, liền kề",19.0,63.0,5.0,4.0,Hợp đồng mua bán,Không có - Thiếu
04/10/2025,"Đống Đa, Hà Nội",nhà mặt phố,41.0,72.0,5.0,4.0,Sổ đỏ/ Sổ hồng,Cơ bản
04/10/2025,"Đông Anh, Hà Nội",căn hộ chung cư,5.92,97.0,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ
04/10/2025,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,4.1,55.0,2.0,2.0,Hợp đồng mua bán,Cơ bản
04/10/2025,"Hà Đông, Hà Nội",nhà mặt phố,17.9,50.0,2.0,3.0,Sổ đỏ/ Sổ hồng,Cơ bản
04/10/2025,"Bắc Từ Liêm, Hà Nội",căn hộ chung cư,10.8,69.0,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ
04/10/2025,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,3.5,43.0,1.0,1.0,Hợp đồng mua bán,Cơ bản
04/10/2025,"Nam Từ Liêm, Hà Nội","shophouse, nhà phố thương mại",17.5,163.0,3.0,3.0,Sổ đỏ/ Sổ hồng,Không có - Thiếu
04/10/2025,"Đông Anh, Hà Nội","nhà biệt thự, liền kề",22.5,80.0,3.0,3.0,Sổ đỏ,Không có - Thiếu
04/10/2025,"Gia Lâm, Hà Nội","shophouse, nhà phố thương mại",9.8,60.0,3.0,3.0,Sổ đỏ/ Sổ hồng,Không có - Thiếu
04/10/2025,"Đông Anh, Hà Nội","shophouse, nhà phố thương mại",29.5,75.0,3.0,3.0,Không có - Thiếu,Không có - Thiếu
04/10/2025,"Tây Hồ, Hà Nội","nhà biệt thự, liền kề",49.0,140.0,5.0,5.0,Sổ đỏ/ Sổ hồng,Không có - Thiếu
04/10/2025,"Gia Lâm, Hà Nội",căn hộ chung cư,5.5,60.0,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ
04/10/2025,"Gia Lâm, Hà Nội",căn hộ chung cư,10.8,43.0,2.0,1.0,Sổ đỏ/ Sổ hồng,Cơ bản
04/10/2025,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,10.8,55.0,2.0,1.0,Sổ đỏ/ Sổ hồng,Đầy đủ
04/10/2025,"Gia Lâm, Hà Nội","nhà biệt thự, liền kề",56.0,227.0,3.0,3.0,Sổ đỏ/ Sổ hồng,Không có - Thiếu
04/10/2025,"Hoàng Mai, Hà Nội",đất,6.7,50.0,3.0,3.0,Sổ đỏ/ Sổ hồng.,Không có - Thiếu
03/10/2025,"Hà Đông, Hà Nội","nhà biệt thự, liền kề",35.0,170.0,3.0,3.0,Không có - Thiếu,Không có - Thiếu
03/10/2025,"Cầu Giấy, Hà Nội",căn hộ chung cư,10.8,70.0,2.0,3.0,Sổ đỏ/ Sổ hồng,Không có - Thiếu
03/10/2025,"Đông Anh, Hà Nội",đất,10.8,247.0,3.0,3.0,Sổ đỏ/ Sổ hồng,Không có - Thiếu
03/10/2025,"Hà Đông, Hà Nội","nhà biệt thự, liền kề",10.8,123.0,3.0,3.0,Sổ đỏ.,Cơ bản
03/10/2025,"Gia Lâm, Hà Nội","nhà biệt thự, liền kề",52.0,265.8,3.0,3.0,Sổ đỏ/ Sổ hồng,Không có - Thiếu
03/10/2025,"Gia Lâm, Hà Nội",căn hộ chung cư,2.3,28.0,3.0,1.0,Sổ đỏ/ Sổ hồng,Không có - Thiếu
03/10/2025,"Đan Phượng, Hà Nội","nhà biệt thự, liền kề",10.8,312.0,3.0,3.0,Hợp đồng mua bán,Không có - Thiếu
03/10/2025,"Thanh Xuân, Hà Nội",căn hộ chung cư,7.66,73.0,3.0,1.0,Sổ đỏ/ Sổ hồng,Đầy đủ
03/10/2025,"Hà Đông, Hà Nội",căn hộ chung cư,6.8,100.0,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ
03/10/2025,"Gia Lâm, Hà Nội","shophouse, nhà phố thương mại",10.8,76.0,3.0,3.0,Không có - Thiếu,Không có - Thiếu
03/10/2025,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,4.3,54.0,2.0,2.0,Hợp đồng mua bán,Cơ bản
03/10/2025,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,2.8,30.3,3.0,3.0,Không có - Thiếu,Không có - Thiếu
03/10/2025,"Long Biên, Hà Nội",căn hộ chung cư,4.1,68.0,2.0,2.0,Hợp đồng mua bán,Cơ bản
03/10/2025,"Đan Phượng, Hà Nội","nhà biệt thự, liền kề",10.8,96.0,3.0,3.0,Hợp đồng mua bán,Không có - Thiếu
03/10/2025,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,12.3,112.0,3.0,2.0,Sổ đỏ/ Sổ hồng,Không có - Thiếu
03/10/2025,"Hà Đông, Hà Nội","nhà biệt thự, liền kề",26.6,150.0,6.0,5.0,Hợp đồng mua bán,Không có - Thiếu
03/10/2025,"Đan Phượng, Hà Nội","shophouse, nhà phố thương mại",22.55,116.0,3.0,3.0,Không có - Thiếu,Không có - Thiếu
03/10/2025,"Hoài Đức, Hà Nội",nhà mặt phố,7.0,38.0,3.0,4.0,Sổ đỏ/ Sổ hồng,Đầy đủ
03/10/2025,"Đông Anh, Hà Nội","nhà biệt thự, liền kề",19.5,63.0,3.0,3.0,Hợp đồng mua bán,Không có - Thiếu
